ticket_id,created_at,title,description,priority,status,category,platform,device_type,country,service,assigned_team,error_code,resolved_at,incident_id,is_isolated,is_duplicate
T000522,2026-02-11 14:12:00,Unable to cast VOD,Customers cnnot start VOD playback through Chromecast.,Medium,Resolved,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-02-11 15:40:00,INC0019,False,False
T000738,2026-01-29 12:35:00,DRM error on Samsung clients Please investigate.,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,,Closed,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-01-29 15:56:00,INC0046,False,False
T000741,2026-05-24 19:41:00,Black screen on Apple TV,Customers report player startup failures on Apple TV devices.,Medium,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-05-24 21:29:00,INC0030,False,False
T000661,2026-06-24 16:37:00,High buffering on VOD,Video delivery is slow and startup time has increased for browser clients.,Medium,Closed,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-06-24 22:48:00,INC0034,False,False
T000412,2026-06-24 23:24:00,Playback fails on Samsung TV,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,Medium,Closed,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-25 01:25:00,INC0037,False,False
T000679,2026-06-24 15:45:00,Customers report repeated buffering,Users experience repeated buffering while watching on-demand content. CDN latency is elevated.,High,Closed,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-06-24 19:19:00,INC0034,False,False
T000627,2026-05-24 19:05:00,Live TV fails on tvOS,Playback requests on tvOS are accepted but video never starts.,Low,In Progress,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0030,False,False
T000514,2026-03-03 04:26:00,EPG not updating,Customers cannot see programme titles for multiple live channels.,Medium,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-03-03 08:20:00,INC0047,False,False
T000860,2026-02-20 04:26:00,Search spelling result,Search gives an unexpected result for one misspelled title.,High,Open,Other,Web,Browser,DK,Other,Customer Support,,,,True,False
T000137,2026-02-09 15:47:00,Black screen on Apple TV Please investigate.,Customers report player startup failures on Apple TV devices.,Medium,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-10 02:38:00,INC0043,False,False
T000812,2026-03-28 05:29:00,Player startup failure Apple TV,tvOS clients are unable to initialize playback for live content.,High,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-03-28 14:52:00,INC0010,False,False
T000077,2026-05-24 09:22:00,Samsung playback returns 403,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,Medium,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-05-24 19:50:00,INC0006,False,False
T000637,2026-02-11 15:52:00,Apple TV playback does not start,Live channels do not start on Apple TV. The player remains on a black screen.,Medium,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-12 00:27:00,INC0022,False,False
T000974,2026-04-22 07:19:00,Missing programme information,Programme guide data is missing for several channels in Norway.,Low,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-04-22 15:29:00,INC0039,False,True
T000939,2026-04-10 18:22:00,Remote control issue,One customer reports that the remote control is not responding.,Medium,Resolved,Other,iOS,Mobile,SE,Other,Customer Support,,,,True,False
T000900,2026-01-09 03:19:00,Profile avatar not saved,A user cannot save a new profile avatar.,High,Open,Other,Tizen,Browser,DK,Other,Customer Support,,,,True,False
T000281,2026-01-02 08:42:00,EPG data missing,Customers cannot see programme titles for multiple live channels.,Medium,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-02 17:52:00,INC0008,False,False
T000884,2026-03-22 16:56:00,Remote control issue,One customer reports that the remote control is not responding.,Critical,Resolved,Other,Web,Mobile,SE,Other,Customer Support,,,,True,False
T000762,2026-06-05 20:34:00,Authentication error on mobile,The Android application does not complete login for multiple customers.,,In Progress,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0021,False,False
T000320,2026-06-21 10:09:00,Live TV fails on tvOS,tvOS clients are unable to initialize playback for live content.,High,Resolved,Metadata,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-21 18:50:00,INC0020,False,False
T000550,2026-02-09 14:47:00,Apple TV playback does not start,tvOS clients are unable to initialize playback for live content.,High,In Progress,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0043,False,False
T000175,2026-06-03 10:33:00,Black screen when starting live TV,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,Medium,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-03 13:40:00,INC0045,False,False
T000372,2026-02-28 04:47:00,Black screen when starting live TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,High,In Progress,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0025,False,False
T000528,2026-01-21 21:17:00,Users see not subscribed message,Customers with an active subscription are denied access to entitled content.,Low,Resolved,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-22 06:51:00,INC0014,False,False
T000211,2026-06-25 02:26:00,DRM error on Samsung devices,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,Medium,Closed,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-25 06:25:00,INC0037,False,False
T000236,2026-05-19 19:28:00,Customers report repeated buffering,A high buffering ratio is observed across VOD sessions serve by the primary CDN.,Medium,Resolved,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-19 21:54:00,INC0044,False,False
T000102,2026-04-22 06:55:00,EPG data missing,The EPG contains empty schedule slots and has not refreshed correctly.,High,Open,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,,INC0039,False,False
T000987,2026-05-24 18:33:00,Apple TV playback does not start,Customers report player startup failures on Apple TV devices.,High,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-05-24 23:21:00,INC0030,False,True
T000903,2026-06-21 08:55:00,Remote control issue Please investigate.,One customer reports that the remote control is not responding.,Medium,Closed,Other,Android,Smart TV,NO,Other,Customer Support,,,,True,False
T000948,2026-05-05 06:48:00,Profile avatar not saved,A user cannot save a new profile avatar.,Medium,Resolved,Other,Tizen,Browser,DK,Other,Customer Support,,,,True,False
T000347,2026-06-03 13:30:00,Black screen when starting live TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,High,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-03 21:26:00,INC0045,False,False
T000140,2026-02-26 18:26:00,Entitlement check failing,Valid subscribers receive an authorization denied response.,High,Closed,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-02-27 03:46:00,INC0007,False,False
T000622,2026-05-27 00:34:00,Player startup failure Apple TV,Customers report player startup failures on Apple TV devices.,Medium,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-05-27 04:33:00,INC0027,False,False
T000500,2026-04-22 08:31:00,TV guide has empty slots,Customers cannot see programme titles for multiple live channels.,High,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-04-22 10:00:00,INC0039,False,False
T000371,2026-06-24 02:47:00,Authentication error on mobile,The Android application does not complete login for multiple customers.,Low,In Progress,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0003,False,False
T000199,2026-02-11 15:16:00,Player startup failure Apple TV,Playback requests on tvOS are accepted but video never starts.,Medium,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-11 18:50:00,INC0022,False,False
T000688,2026-04-08 09:50:00,Android users cannot log in,Authentication requests from Android are rejected with 401 responses.,High,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-08 19:24:00,INC0018,False,False
T000585,2026-06-23 23:57:00,Authentication error on mobile,The Android application does not complete login for multiple customers.,Low,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-06-24 01:10:00,INC0003,False,False
T000902,2026-01-08 01:31:00,Volume mismatch,Volume level changes between two specific channels.,High,Resolved,Other,Tizen,Browser,SE,Other,Customer Support,,,,True,False
T000060,2026-06-25 11:18:00,Player startup failure Apple TV,Playback requests on tvOS are accepted but video never starts.,Medium,Resolved,Casting,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-25 17:54:00,INC0024,False,False
T000329,2026-02-06 08:31:00,Stream timeout on set-top boxes Please investigate.,Timeout errors are increasing for Android TV live sessions.,Medium,In Progress,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,,INC0029,False,False
T000097,2026-02-06 09:02:00,Playback timeout on STB,Timeout errors are increasing for Android TV live sessions.,High,In Progress,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,,INC0029,False,False
T000313,2026-04-22 07:56:00,EPG not updating,TV guide metadata appears stal or missing across supported devices.,Medium,Open,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,,INC0039,False,False
T000975,2026-04-08 09:16:00,401 when signing in on Android,The Android application does not complete login for multiple customers.,Medium,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-08 16:30:00,INC0018,False,True
T000300,2026-03-03 02:04:00,Missing programme information Please investigate.,TV guide metadata appears stale or missing across supported devices.,Medium,Resolved,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-03-03 02:45:00,INC0047,False,False
T000278,2026-02-11 14:43:00,Black screen on Apple TV,tvOS clients are unable to initialize playback for live content.,Medium,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-12 00:30:00,INC0022,False,False
T000925,2026-03-15 15:49:00,Search spelling result,Search gives an unexpected result for one misspelled title.,Low,Resolved,Other,Tizen,Mobile,SE,Other,Customer Support,,,,True,False
T000602,2026-05-21 08:03:00,Playback timeout on STB,Android TV set-top boxes report connection timeouts while starting live channels.,Critical,Resolved,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-05-21 10:53:00,INC0050,False,False
T000440,2026-05-10 04:53:00,VOD playback buffering in Denmark,A high buffering ratio is observed across VOD sessions served by the primary CDN.,,Closed,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-10 06:44:00,INC0041,False,False
T000838,2026-06-13 22:59:00,Missing programme information,The EPG contains empty schedule slots and has not refreshed correctly.,Critical,Closed,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-06-14 10:58:00,INC0023,False,False
T000571,2026-05-30 14:54:00,Entitlement check failing,Valid subscribers receive an authorization denied response.,High,In Progress,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,,INC0031,False,False
T000880,2026-05-08 13:27:00,Search spelling result,Search gives an unexpecte result for one misspelled title.,High,In Progress,Other,Android,Smart TV,SE,Other,Customer Support,,,,True,False
T000262,2026-02-05 19:53:00,Apple TV playback does not start,Live channels do not start on Apple TV. The player remains on a black screen.,High,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-06 04:26:00,INC0032,False,False
T000579,2026-02-09 15:22:00,Player starup failure Apple TV,Customers report player startup failures on Apple TV devices.,Critical,In Progress,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0043,False,False
T000024,2026-06-21 11:56:00,Black screen on Apple TV,tvOS clients are unable to initialize playback for live content.,High,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-21 18:55:00,INC0020,False,False
T000031,2026-02-06 09:10:00,Playback timeout on STB,Live playback fails intermittently due to upstream timeout errors.,High,Resolved,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-02-06 17:25:00,INC0029,False,False
T000618,2026-02-06 09:15:00,Live TV timeout on Android TV,Android TV set-top boxes report connection timeouts while starting live channels.,Low,Open,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,,INC0029,False,False
T000011,2026-02-11 17:41:00,Player startup failure Apple TV,Live channels do not start on Apple TV. The player remains on a black screen.,High,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-11 20:14:00,INC0022,False,False
T000222,2026-06-25 13:55:00,Black screen on Apple TV,Live channels do nt start on Apple TV. The player remains on a black screen.,Medium,Resolved,Authentication,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-26 01:21:00,INC0024,False,False
T000821,2026-05-17 05:09:00,401 when signing in on Android Please investigate.,The Android application does not complete login for multiple customers.,High,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-05-17 11:38:00,INC0049,False,False
T000297,2026-06-21 12:43:00,Apple TV playback does not start,Playback requests on tvOS are accepted but video never starts.,Medium,In Progress,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,,INC0020,False,False
T000055,2026-03-03 01:48:00,Missing programme information,Customers cannot see programme titles for multiple live channels.,High,Closed,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-03-03 03:40:00,INC0047,False,False
T000543,2026-04-28 19:11:00,Playback fails on Samsung TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,High,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-04-28 22:37:00,INC0013,False,False
T000210,2026-02-27 05:48:00,Black screen on Apple TV,Customers report player startup failures on Apple TV devices.,Medium,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-27 12:29:00,INC0002,False,False
T000605,2026-03-29 12:04:00,Subscription authorization denied,Entitlement validation incorrectly reports that users do not have a subscription.,Medium,Open,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,,INC0009,False,False
T000693,2026-05-19 18:08:00,Slow video deivery from CDN,Video delivery is slow and startup time has increased for browser clients.,High,Closed,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-19 19:55:00,INC0044,False,False
T000663,2026-01-21 08:30:00,TV guide has empty slots,The EPG contains empty schedule slots and has not refreshed correctly.,Medium,Closed,Casting,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-21 14:48:00,INC0017,False,False
T000867,2026-06-18 02:21:00,Volume mismatch,Volume level changes between two specific channels. Please investigate.,Medium,Closed,Other,Tizen,Mobile,DK,Other,Customer Support,,,,True,False
T000071,2026-06-24 16:28:00,Customers rport repeated buffering,Users experience repeated buffering while watching on-demand content. CDN latency is elevated.,Medium,Open,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,,INC0034,False,False
T000544,2026-03-09 17:15:00,Black screen when starting live TV,Playback is failing on Tizen devices. Users report a black screen and DRM errors.,High,In Progress,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0040,False,False
T000108,2026-04-13 09:39:00,Cast session disconnects,Users cannot start VOD playback through Chromecast.,Medium,Resolved,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-04-13 15:46:00,INC0026,False,False
T000494,2026-05-19 19:14:00,Customers report repeated buffering,VOD sessions show a significant increase in buffering for customers in Denmark.,Medium,In Progress,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,,INC0044,False,False
T000591,2026-05-28 08:00:00,Unable to cast VOD Please investigate.,Casting begins but the session disconnects before video starts.,Low,Resolved,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-05-28 12:54:00,INC0015,False,False
T000742,2026-05-24 10:29:00,DRM error on Samsung devices,Users on Samsung Smart TV are unable to play content. Error 403 is observed during DRM validation.,Medium,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-05-24 15:01:00,INC0006,False,False
T000293,2026-06-17 18:05:00,Player startup failure Apple TV,tvOS clients are unable to initialize playback for live content.,High,Resolved,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-17 22:30:00,INC0028,False,False
T000290,2026-04-08 10:49:00,Login failing in Android app,The Android application does not complete login for multiple customers.,Medium,In Progress,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0018,False,False
T000653,2026-02-28 04:58:00,DRM error on Samsung devices,Users on Samsung Smart TV are unable to play content. Error 403 is observed during DRM validation. Please investigate.,Medium,In Progress,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0025,False,False
T000040,2026-06-05 22:44:00,Login failing in Android app,Customers using the Android app are unable to sign in and receive HTTP 401.,Medium,Open,CDN,Android,Mobile,DK,Login,Identity,AUTH_401,,INC0021,False,False
T000590,2026-05-21 06:55:00,Stream timeout on set-top boxes,Android TV set-top boxes report connection timeouts while starting live channels.,Medium,Resolved,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-05-21 14:05:00,INC0050,False,False
T000308,2026-04-09 13:32:00,Authentication error on mobile,Customers using the Android app are unable to sign in and receive HTTP 401.,Critical,Resolved,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-09 20:16:00,INC0035,False,False
T000680,2026-06-24 14:54:00,VOD playback buffering in Denmark,Video delivery is slow and startup time has increased for browser clients.,Critical,In Progress,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,,INC0034,False,False
T000067,2026-02-09 15:48:00,Apple TV playback does not start,tvOS clients are unable to initialize streaming for live content.,Medium,Closed,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-09 23:21:00,INC0043,False,False
T000276,2026-01-21 11:39:00,Missing programme information,The EPG contains empty schedule slots and has not refreshed correctly.,,Closed,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-21 21:09:00,INC0017,False,False
T000068,2026-06-25 00:04:00,Playback fails on Samsung TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns issue 403.,Medium,Closed,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-25 07:43:00,INC0037,False,False
T000319,2026-02-28 02:50:00,Playback fails on Samsung TV,Several customers cannot start playback on Samsung Smart TVs. DRM authorization returns error 403.,Low,Resolved,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-02-28 09:39:00,INC0025,False,False
T000549,2026-01-29 14:05:00,Playback fails on Samsung TV,Users on Samsung Smart TV are unable to play content. Error 403 is observed during DRM validation.,Medium,In Progress,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,,INC0046,False,False
