incident_id,category,platform,device_type,country,service,assigned_team,error_code,incident_start
INC0001,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-07 23:17:00
INC0002,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-27 04:47:00
INC0003,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-06-23 23:57:00
INC0004,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-06-01 13:02:00
INC0005,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-01-24 06:14:00
INC0006,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-05-24 06:45:00
INC0007,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-02-26 14:37:00
INC0008,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-02 05:44:00
INC0009,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-03-29 08:09:00
INC0010,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-03-28 03:05:00
INC0011,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-25 11:54:00
INC0012,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-06-04 08:51:00
INC0013,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-04-28 17:07:00
INC0014,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-01-21 17:18:00
INC0015,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-05-28 06:45:00
INC0016,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-12 21:14:00
INC0017,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-01-21 07:55:00
INC0018,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-08 08:29:00
INC0019,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-02-11 11:22:00
INC0020,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-21 08:44:00
INC0021,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-06-05 20:10:00
INC0022,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-11 14:24:00
INC0023,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-06-13 22:35:00
INC0024,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-25 10:53:00
INC0025,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-02-28 01:51:00
INC0026,Casting,Chromecast,Casting Device,DK,VOD,OTT Playback,CAST_FAIL,2026-04-13 08:04:00
INC0027,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-05-26 22:20:00
INC0028,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-06-17 15:25:00
INC0029,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-02-06 08:08:00
INC0030,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-05-24 17:16:00
INC0031,Authorization,All,All,DK,Subscription,Entitlements,ENTITLEMENT_DENIED,2026-05-30 12:23:00
INC0032,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-05 16:31:00
INC0033,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-13 03:09:00
INC0034,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-06-24 13:38:00
INC0035,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-04-09 12:38:00
INC0036,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-05-16 08:35:00
INC0037,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-24 23:07:00
INC0038,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-06-14 10:07:00
INC0039,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-04-22 05:29:00
INC0040,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-03-09 16:48:00
INC0041,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-10 03:55:00
INC0042,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-06-13 16:38:00
INC0043,Playback,tvOS,Apple TV,SE,Live TV,OTT Playback,PLAYER_START,2026-02-09 11:48:00
INC0044,CDN,Web,Browser,DK,VOD,CDN Operations,CDN_BUFFERING,2026-05-19 16:58:00
INC0045,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-06-03 10:31:00
INC0046,DRM,Tizen,Smart TV,DK,Live TV,OTT Playback,DRM_403,2026-01-29 11:56:00
INC0047,Metadata,All,All,NO,EPG,Content Platform,EPG_MISSING,2026-03-03 01:15:00
INC0048,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-01-22 23:31:00
INC0049,Authentication,Android,Mobile,DK,Login,Identity,AUTH_401,2026-05-17 04:08:00
INC0050,Network,Android TV,Set-top Box,DK,Live TV,Network Operations,TIMEOUT,2026-05-21 05:16:00
